rxn num,lv,uv,ldGr,udGr
210,0.0,112.07819,-277.780666,206.899787
211,0.0,112.07819,-191.128829,242.171689
212,0.0,112.07819,-184.473764,235.274681
213,0.0,112.07819,-562.346212,-90.765374
214,0.0,112.07819,-594.089269,-121.629658
215,0.0,112.07819,-inf,inf
216,0.0,112.07819,-inf,inf
217,0.0,107.877739,-577.055063,-104.232956
218,0.0,109.118383,-161.960377,182.468189
219,-42.029186,109.301676,-233.201329,211.720533
220,0.0,0.0,-324.254538,208.818589
221,0.0,1000.0,-337.283884,-0.0001
222,-1000.0,1000.0,-205.735577,205.120976
223,-1000.0,1000.0,-206.012922,204.843641
224,-1000.0,1000.0,-189.71126,221.145312
225,0.0,1000.0,-223.59882,-52.661977
226,0.0,1000.0,-223.598681,-52.661838
227,0.0,1000.0,-481.45387,-159.766764
228,0.0,1000.0,-471.903987,-148.203229
229,0.0,1000.0,-482.561236,-158.65891
230,0.0,1000.0,-473.02457,-147.053489
231,-1000.0,1000.0,-222.693146,56.401517
232,-1000.0,1000.0,-223.61507,57.324212
233,-1000.0,1000.0,-188.737924,55.748578
234,-1000.0,1000.0,-222.846398,56.652807
235,0.0,1000.0,-470.979937,-149.097147
236,0.0,1000.0,-472.060165,-150.367592
237,0.0,1000.0,-482.679419,-160.266819
238,0.0,1000.0,-483.73877,-159.206003
239,0.0,0.0,-inf,inf
240,0.259457,2.116005,-inf,inf
241,-1000.0,1000.0,-257.655653,113.55608
242,-1000.0,1000.0,-164.899227,207.214445
243,3.184936,999.508743,-128.385907,-0.0001
244,3.676193,1000.0,-147.821955,-0.0001
246,0.0,0.0,-229.660638,93.649377
247,0.0,0.0,-250.857333,114.84595
248,0.0,0.0,-272.334923,136.323876
249,0.0,0.0,-293.965795,157.954198
250,0.0,0.0,-315.687911,179.677169
251,0.0,0.0,-337.470508,201.458545
252,0.0,0.0,-359.292618,223.281631
253,0.0,0.0,-381.144358,245.132884
254,0.0,0.0,-2474.894283,-1904.581914
255,0.0,0.0,1741.822304,2365.630943
256,0.0,0.0,-446.80846,310.797473
257,0.0,0.0,-468.720004,332.709506
258,0.0,0.0,-490.640436,354.628473
259,0.0,0.0,-512.566954,376.554991
260,0.0,0.0,-534.498455,398.487469
