rxn num,lv,uv,ldGr,udGr
201,0.918344,164.719988,-164.4233,-0.0001
202,-1000.0,1000.0,-inf,inf
203,-1000.0,1000.0,-inf,inf
204,0.0,0.0,-265.026907,157.885339
205,0.0,0.0,-inf,inf
206,0.0,0.0,-87.122629,200.380414
207,0.0,116.040137,-250.601438,-0.0001
208,0.0,107.877739,-527.484129,-64.37816
209,0.0,112.07819,-inf,inf
210,0.0,112.07819,-294.895434,218.309731
211,0.0,112.07819,-202.53872,249.778254
212,0.0,112.07819,-195.883659,242.88125
213,0.0,112.07819,-573.756096,-77.45387
214,0.0,112.07819,-605.499129,-108.318177
215,0.0,112.07819,-inf,inf
216,0.0,112.07819,-inf,inf
217,0.0,107.877739,-588.464962,-90.921437
218,0.0,109.118383,-167.665335,188.173147
219,-42.029186,109.301676,-244.611357,223.130316
220,0.0,0.0,-335.66443,249.651398
221,-996.686018,1000.0,-368.917804,36.068796
222,-1000.0,1000.0,-217.145597,216.530751
223,-1000.0,1000.0,-217.422703,216.253666
224,-1000.0,1000.0,-201.121264,232.555071
225,0.0,1000.0,-229.303766,-41.252085
226,0.0,1000.0,-229.303626,-41.251946
227,0.0,1000.0,-492.863895,-142.652038
228,0.0,1000.0,-483.314003,-131.088492
229,0.0,1000.0,-493.971254,-141.54419
230,0.0,1000.0,-484.434579,-129.938778
231,-1000.0,1000.0,-234.103011,67.81142
232,-1000.0,1000.0,-235.024902,68.734105
233,-1000.0,1000.0,-233.353285,67.158474
234,-1000.0,1000.0,-234.256248,68.062719
235,0.0,1000.0,-482.389956,-131.982426
236,0.0,1000.0,-483.470202,-130.903644
237,0.0,1000.0,-494.089455,-143.15208
238,0.0,1000.0,-495.148812,-142.091259
239,0.0,0.0,-inf,inf
240,0.259457,2.116005,-inf,inf
241,-1000.0,1000.0,-270.489621,154.300764
242,-1000.0,1000.0,-176.309113,258.931753
243,3.184936,999.508743,-88.542915,-0.0001
244,3.676193,1000.0,-159.231815,-0.0001
245,-1000.0,1000.0,-66.474505,45.854346
246,0.0,0.0,-241.070537,105.059276
247,0.0,0.0,-262.267239,126.255856
248,0.0,0.0,-283.744829,147.733782
249,0.0,0.0,-305.375684,-0.0001
250,0.0,0.0,-327.097794,191.087052
251,0.0,0.0,-348.880403,212.86844
252,0.0,0.0,-370.702504,234.691517
253,0.0,0.0,-392.554301,256.542826
254,0.0,0.0,-2486.304238,-1893.171958
255,0.0,0.0,1730.412456,2377.040791
256,0.0,0.0,-458.218353,322.207367
257,0.0,0.0,-480.129943,344.119445
258,0.0,0.0,-502.050326,366.038363
259,0.0,0.0,-523.976805,387.964842
