,dGr_prime,SD of dGr_prime
r_0180,-8.85330281077404,12.40479698953642
r_0181,-16.33071762685495,13.243029064288445
r_0182,-19.14196258932043,12.690195466382907
r_0183,-11.664566842923932,12.690198977634749
r_0184,-19.141981663335173,13.510736042430503
r_0185,-42.10694673385453,13.039563911944954
r_0186,-14.78751600508076,12.818878134238002
r_0187,-7.310119791836428,12.818882222091894
r_0188,-61.399380561571434,16.760437575248503
r_0189,2.961532004160688,7.3995480797706215
r_0190,-14.23442124300184,9.585359189865988
r_0191,-76.28420907106761,114.13309259042246
r_0192,-8.96393130296542,36.79264897395274
r_0193,-14.350325502286864,1.8630167048280686
r_0194,-14.350637626115144,1.86301929011082
r_0195,-11.517157981755417,8.704066804697172
r_0198,-13.368330294486668,1.7631529137260704
r_0199,-33.82843882248771,60.095245403781085
r_0200,-119.898704541096,60.81370819365496
r_0201,-55.060465425378425,24.708247158571787
r_0202,-28.196458043682128,7.08654340003595
r_0203,-199.61908984380062,7.9704385835273115
r_0204,-35.53655977101876,3.307253601608494
r_0205,-20.710913511166382,12.945089386349668
r_0206,-30.93571476443295,6.056059974388822
r_0207,24.880483152192937,35.54144877112482
r_0208,-4.75789847978465,35.46525441431295
r_0209,,
r_0210,,
r_0211,-34.7107282580003,2.8998235474660867
r_0212,,
r_0213,,
r_0214,-22.088508069450427,3.7818620681759194
r_0215,15.3369851956013,2.213919533032101
r_0216,3.6392860042399207,1.760776873975909
r_0217,-3.638072759574129,1.7607773009230232
r_0218,3.6386696375843712,1.7607767927748257
r_0219,-1.6696906117394974,13.041675291282765
r_0220,,
r_0221,,
r_0222,9.527526176021183,2.9636494824239414
r_0223,,
r_0224,9.526131710919344,22.314972396577947
r_0225,-17.313548125184752,16.943535940917734
r_0226,0.7399331303359133,1.8593175330205565
r_0227,-27.150022763978995,1.8593186615184962
r_0228,-12.495175707048908,36.49067964742138
r_0229,,
r_0230,15.813704197387779,14.009286981386186
r_0231,-47.04513413073437,47.549278512943694
r_0233,-392.200661538707,44.176057629835626
r_0234,,
r_0235,-9.768183585463476,45.83455809866407
r_0236,-8.077848974485732,44.51746745254439
r_0237,-8.198820654178235,42.25878871170744
r_0238,-395.5198600303331,44.241750852520866
r_0239,-436.6465843964338,44.34470557453331
r_0240,,
r_0241,,
r_0242,-419.43113028870835,44.40512147670876
r_0243,10.25390625,42.42655400666672
r_0244,-51.81600815417187,43.96224776958677
r_0249,-43.00651576895552,65.45959344580797
r_0250,-12.831403839400537,4.5563116107285255
r_0252,-0.30730063931730456,40.186344951087605
r_0253,-0.5846402943669204,40.18634652633183
r_0254,15.717025674214028,40.18634801151216
r_0255,-183.44876264111468,6.768482042961411
r_0256,-183.44862318862624,6.768482042961411
r_0259,-397.18123754739304,16.723844284823638
r_0260,-386.60970545510804,17.06439383291642
r_0261,-397.18099340676804,17.09304767631681
r_0262,-386.60994959573304,17.437840193647318
r_0263,-42.07020433688101,16.32438125072307
r_0264,-42.06981905245764,16.631817665841517
r_0265,-42.02181452372677,16.090604897856217
r_0266,-42.021185098678394,16.391804929479168
r_0267,-386.60946213459033,16.756458204296866
r_0268,-386.61019455646533,17.11629022755222
r_0269,-398.04403898398846,16.844760000307954
r_0270,-398.04330656211346,17.198121167540933
r_0271,,
r_0272,,
r_0273,-17.018818141615135,36.80370363627889
r_0274,0.45433965473011995,38.61832957037266
r_0278,-42.8487477616294,13.534179292928242
r_0279,-29.913688822990935,9.111359335550723
r_0280,-0.48702561118182075,1.798112418358216
r_0281,-68.00563049316406,25.595255287060038
r_0282,-68.00569152832031,32.660799942246314
r_0283,-68.00552368164062,39.820052456755505
r_0284,-68.00579833984375,47.03025148764144
r_0285,-68.00537109375,54.27109943433234
r_0286,-68.0059814453125,61.53176143198501
r_0287,-68.0054931640625,68.80596083680328
r_0288,-68.0057373046875,76.08979305752915
r_0289,-2189.7380981445312,66.7623142689523
r_0290,2053.7266235351562,75.67835929135538
r_0291,-68.0054931640625,97.97790821328107
r_0292,-68.0052490234375,105.28183775317683
r_0293,-68.0059814453125,112.58840414698844
r_0294,-68.0059814453125,119.89724369650862
r_0295,-68.0054931640625,127.20790674587934
r_0296,-68.0050048828125,134.5200415344326
r_0297,-68.0059814453125,141.83346758030024
r_0298,-68.0064697265625,149.1479259197456
r_0299,-68.0054931640625,156.4634046867189
r_0300,-50.87232152241029,13.466454793770728
r_0301,-35.76856899098534,13.466454132630403
r_0302,8.235875121054306,1.773126193247826
r_0303,8.317846696793737,1.773125951582162
r_0304,-362.0865717628749,92.24193265669663
r_0306,-15.723967541500087,9.088319891012244
r_0307,18.345259108970367,57.67214125516392
r_0308,-16.074571203613687,57.1347358736389
r_0309,-34.547089022480165,4.287902426650214
r_0310,-17.966745823988802,57.08106112563051
r_0311,-50.24622591111969,3.9008350877784475
r_0312,-48.18202844470841,2.880120528396029
r_0313,,
r_0314,-44.34990461761049,57.59789990140522
r_0315,-15.249440322531406,15.506650723297565
r_0317,-1282.917090667078,62.58832390439821
r_0318,-44.86357516630578,57.67322977738368
r_0319,-146.6325162978392,8.24946663145641
r_0320,-10.698344879326442,12.105802591394935
r_0321,-10.69832580531147,12.963386278864396
r_0322,21.30253452391912,1.2214961272305702
r_0323,16.874864249566826,12.062280403247833
r_0326,-44.3483550208972,57.79437846341762
r_0327,-44.35213355959604,57.84040809213365
r_0328,-45.01653050970607,57.108999773972165
r_0329,-44.34822790763971,57.783397386248936
r_0330,-1.3745670680830244,13.234268581897407
r_0331,-45.91373523949051,118.12022553151238
r_0332,-15.248148730501022,3.615147919158584
r_0334,-17.383300068123052,13.107907431991714
r_0335,-26.028295091618475,8.356442437967537
r_0340,-14.982850897573684,9.357416828534795
r_0341,-14.982240546011184,9.89763876595893
r_0342,14.934461084419581,8.94334347226481
r_0343,14.933606592232309,9.488791446633895
r_0344,-21.481514327005073,24.56560612136965
r_0345,-13.986268935026203,24.565605089902007
r_0346,-1.0425829639843869,19.585581971356127
r_0347,12.689241266142844,16.63529589755695
r_0348,-10.850412839519095,16.59016648769494
r_0349,-3.304405925324204,4.472966215341858
r_0350,-23.317700161483145,17.66397855293686
r_0351,-46.57099469348577,17.18766452966801
r_0352,-27.904423765141672,5.0237764428568985
r_0353,-29.68841813416155,4.741210142390559
r_0354,-13.391155786955757,2.077938915775187
r_0355,-68.37717975562498,12.401311207486222
r_0356,-29.393204291519375,1.426450877960955
r_0357,-74.83766628494323,14.822692347851193
r_0358,48.82863268994453,14.804392472911145
r_0359,,
r_0360,,
r_0361,,
r_0362,,
r_0363,-1.3782901935012433,12.080379897347157
r_0364,-35.29780398215846,9.677705636779063
r_0365,,
r_0366,-3.505290881737892,1.2582333530731595
r_0368,-16.585478889193155,30.48134250942038
r_0369,-19.852252466024744,2.6909240770089533
r_0370,,
r_0373,-68.37756122099609,25.59526517487669
r_0399,-8.26482391808372,13.702415850695656
r_0400,-8.26485443566196,13.766373543934671
r_0402,-8.264854435661562,13.984775481585556
r_0410,-8.27457614410605,13.669250573097273
r_0412,-8.264915470818323,13.860696304099006
r_0436,282.31476295983725,115.8384436007987
r_0437,,
r_0438,,
r_0439,,
r_0440,-2.6359664276149033,28.475300932839442
r_0441,-12.633521865504008,30.58866343354715
r_0442,-12.633540939518753,30.93808749881043
r_0443,-8.833615212718144,13.884377454654503
r_0445,-13.797890171484141,12.174512814015095
r_0446,-10.427715306304435,20.94541480474584
r_0447,-9.939505939423043,20.945416715708124
r_0448,-25.88774962086518,3.9653365030712138
r_0449,-10.301160091284146,1.442866217836332
r_0450,22.097402554370774,1.248962544912086
r_0451,-3.5385667845470152,1.2397416361917324
r_0452,-3.5467910109933882,1.2397417961363364
r_0453,-54.383194290028484,5.202419390172345
r_0454,-66.77766562882641,28.29219308987649
r_0455,-53.10222655733105,28.292191790010122
r_0457,-1.3698026299925914,5.009779481447191
r_0458,-8.30639119530995,1.8846245957916559
r_0459,-2.501962480682323,8.699366301091201
r_0460,-30.4776980928724,3.4891255451275467
r_0461,-68.37762225615234,32.66080610404244
r_0462,-68.37772906767577,18.729805291471894
r_0463,,
r_0464,,
r_0465,-14.919241295065376,57.032405264663815
r_0466,-10.999509066502242,12.956939908466591
r_0467,0.2629857199367507,0.9242269605997467
r_0468,12.750367992946394,21.282729062286084
r_0469,-22.087118022796645,2.8070461272998757
r_0470,10.658342524287264,58.25336952714023
r_0471,-10.658361598302008,58.43760765721655
r_0472,-44.727569174757946,12.29234097028281
r_0473,0.9944214765655488,24.86980566472091
r_0475,-34.06922665047074,57.005513016365434
r_0476,8.060193055473292,57.02910073693221
r_0477,-19.149985355405533,2.9068337547446186
r_0478,,
r_0479,,
r_0480,,
r_0481,-11.22905605941969,15.991248305423047
r_0482,-5.400463371941441,15.991246695271014
r_0483,-308.46429243179574,10.057115395818872
r_0484,-306.8152578757269,10.057116720165334
r_0485,-27.207087452693713,4.791371090317051
r_0486,1.1761994362379937,12.088163017043412
r_0487,-19.320783977480914,12.974214017381515
r_0488,-15.14745386412367,2.1592150641266437
r_0489,-10.861579730874155,1.5931801798468528
r_0490,22.038257045340174,28.26909587084922
r_0491,-21.077062980634082,12.07590365796134
r_0492,-13.490540242747784,12.075907738168747
r_0497,-22.97234636979497,36.985939929204186
r_0499,0.6839723549832684,22.188222601703412
r_0500,-25.482683690793607,13.865997897189178
r_0501,-16.680833975600308,61.9099907724341
r_0502,-6.70532945657385,20.983386339514514
r_0503,-6.685537447819939,20.98338900537655
r_0504,23.298932426102283,13.384285043706743
r_0505,-4.398473922645508,15.349339546482009
r_0506,11.196260325160893,41.868216721050885
r_0507,-23.478589857981092,73.69065199959587
r_0508,-4.398504442779995,42.74832618627868
r_0509,-35.58129247905697,62.11617534403488
r_0510,,
r_0511,,
r_0512,,
r_0514,-31.144518670620812,9.649868142738276
r_0518,11.8116067776159,73.15932773039285
r_0519,,
r_0520,,
r_0521,,
r_0522,,
r_0523,,
r_0524,-51.19246278140779,14.938559175110832
r_0525,-44.16630958383617,13.363404927056738
r_0526,-40.20390549489997,57.75165724905585
r_0527,-18.931524479529912,13.060295903174893
r_0528,-1.3723633057475126,13.012936189077976
r_0529,-1.3722391689645974,13.49616229625719
r_0530,,
r_0531,-54.7617282856836,133.0187701163153
r_0532,,
r_0533,-15.250570625430079,1.878289622769638
r_0534,-15.250324041742694,1.8661135013556855
r_0535,-15.250324041742694,1.8661133353311745
r_0536,-17.801978543945097,26.658528817350177
r_0537,-10.501781099011168,11.841864784797535
r_0538,10.236745940789262,12.12099339156558
r_0539,,
r_0540,,
r_0541,-18.625217624343804,33.04930333719511
r_0542,3.8048207533938694,2.484083165315766
